locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFGBILMD_01076	CDS	726				putative protein
GFGBILMD_01077	CDS	1227	menJ	1.3.99.38	COG0644	Menaquinone reductase
GFGBILMD_01078	CDS	990	hepT_1	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
GFGBILMD_01079	CDS	861	htpX_1	3.4.24.-	COG0501	Protease HtpX 
GFGBILMD_01080	CDS	1056	gpsA2	1.1.1.94	COG0240	putative glycerol-3-phosphate dehydrogenase 2 [NAD(P)+]
GFGBILMD_01081	CDS	1461	ethA_1	1.14.13.-	COG2072	FAD-containing monooxygenase EthA
GFGBILMD_01082	CDS	492				hypothetical protein
GFGBILMD_01083	tRNA	84				tRNA-Tyr(gta)
GFGBILMD_01084	CDS	1023	oxyT	2.1.1.335		N,N-dimethyltransferase OxyT
GFGBILMD_01085	CDS	1401		1.14.-.-	COG2124	Putative cytochrome P450 135B1
GFGBILMD_01086	CDS	267				putative protein
GFGBILMD_01087	CDS	2031	nrdZ	1.17.4.1	COG0209	Vitamin B12-dependent ribonucleoside-diphosphate reductase
GFGBILMD_01088	CDS	1332			COG1926	Putative phosphoribosyl transferase
GFGBILMD_01089	CDS	123				hypothetical protein
GFGBILMD_01090	CDS	342				putative protein
GFGBILMD_01091	CDS	168				putative proteinA
GFGBILMD_01092	CDS	1392	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
GFGBILMD_01093	CDS	1143			COG2843	putative polyglutamine synthesis accessory protein
GFGBILMD_01094	CDS	1167			COG0654	putative protein
GFGBILMD_01095	CDS	1305				hypothetical protein
GFGBILMD_01096	CDS	786			COG3324	Putative glyoxylase CFP32
GFGBILMD_01097	CDS	3915				hypothetical protein
GFGBILMD_01098	CDS	759				hypothetical protein
GFGBILMD_01099	CDS	579				hypothetical protein
GFGBILMD_01100	CDS	216				Antitoxin VapB26
GFGBILMD_01101	CDS	408		3.1.-.-	COG2402	Ribonuclease VapC26
GFGBILMD_01102	CDS	687				hypothetical protein
GFGBILMD_01103	CDS	2634				hypothetical protein
GFGBILMD_01104	CDS	2388				hypothetical protein
GFGBILMD_01105	CDS	723	mce2R		COG2186	HTH-type transcriptional regulator Mce2R
GFGBILMD_01106	CDS	798				hypothetical protein
GFGBILMD_01107	CDS	888				hypothetical protein
GFGBILMD_01108	CDS	1215				hypothetical protein
GFGBILMD_01109	CDS	1032				hypothetical protein
GFGBILMD_01110	CDS	1446				hypothetical protein
GFGBILMD_01111	CDS	1527				hypothetical protein
GFGBILMD_01112	CDS	1197	lprN_1			Lipoprotein LprN
GFGBILMD_01113	CDS	1551				hypothetical protein
GFGBILMD_01114	CDS	396	vapC4	3.1.-.-	COG1487	Ribonuclease VapC4
GFGBILMD_01115	CDS	258	vapB4		COG4118	Antitoxin VapB4
GFGBILMD_01116	CDS	1236			COG1373	putative protein
GFGBILMD_01117	CDS	174				hypothetical protein
GFGBILMD_01118	CDS	414		3.1.-.-		Ribonuclease VapC27
GFGBILMD_01119	CDS	225			COG2002	Antitoxin VapB27
GFGBILMD_01120	CDS	507		2.7.13.3	COG0642	Sensor histidine kinase component HK1
GFGBILMD_01121	CDS	531		2.7.13.3	COG0642	Sensor histidine kinase component HK2
GFGBILMD_01122	CDS	696	tcrA		COG0745	Transcriptional regulatory protein TcrA
GFGBILMD_01123	CDS	312				hypothetical protein
GFGBILMD_01124	CDS	927				hypothetical protein
GFGBILMD_01125	CDS	585			COG2452	putative protein
GFGBILMD_01126	CDS	744				IS607 family transposase IS1536
GFGBILMD_01127	CDS	471				hypothetical protein
GFGBILMD_01128	CDS	246			COG4423	Antitoxin VapB28
GFGBILMD_01129	CDS	402		3.1.-.-	COG3742	Ribonuclease VapC28
GFGBILMD_01130	CDS	198				putative proteinB
GFGBILMD_01131	CDS	1158				hypothetical protein
GFGBILMD_01132	CDS	222				hypothetical protein
GFGBILMD_01133	CDS	549				hypothetical protein
GFGBILMD_01134	CDS	2568				hypothetical protein
GFGBILMD_01135	CDS	750				hypothetical protein
GFGBILMD_01136	CDS	240				hypothetical protein
GFGBILMD_01137	CDS	228				Putative antitoxin VapB29
GFGBILMD_01138	CDS	402		3.1.-.-	COG1848	Ribonuclease VapC29
GFGBILMD_01139	CDS	696				hypothetical protein
GFGBILMD_01140	CDS	471	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
GFGBILMD_01141	CDS	1092	galK	2.7.1.6	COG0153	Galactokinase
GFGBILMD_01142	CDS	1065				hypothetical protein
GFGBILMD_01143	CDS	948				hypothetical protein
GFGBILMD_01144	CDS	255			COG4423	Antitoxin VapB30
GFGBILMD_01145	CDS	396		3.1.-.-	COG3742	Ribonuclease VapC30
GFGBILMD_01146	CDS	741			COG0398	TVP38/TMEM64 family membrane protein
GFGBILMD_01147	CDS	261	vapB5		COG4118	Putative antitoxin VapB5
GFGBILMD_01148	CDS	408	vapC5_1	3.1.-.-	COG1487	Ribonuclease VapC5
GFGBILMD_01149	CDS	1152			COG4398	putative protein
GFGBILMD_01150	CDS	1728	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
GFGBILMD_01151	CDS	3285	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
GFGBILMD_01152	CDS	3294	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
GFGBILMD_01153	CDS	696	caiD_2	4.2.1.149		Carnitinyl-CoA dehydratase
GFGBILMD_01154	CDS	861				hypothetical protein
GFGBILMD_01155	CDS	714	baeB	3.-.-.-	COG0491	putative polyketide biosynthesis zinc-dependent hydrolase BaeB
GFGBILMD_01156	CDS	213			COG5450	putative proteinA
GFGBILMD_01157	tRNA	74				tRNA-Thr(ggt)
GFGBILMD_01158	tRNA	75				tRNA-Met(cat)
GFGBILMD_01159	CDS	168	rpmG2_1		COG0267	50S ribosomal protein L33 2
GFGBILMD_01160	CDS	477				hypothetical protein
GFGBILMD_01161	CDS	429				hypothetical protein
GFGBILMD_01162	CDS	501				hypothetical protein
GFGBILMD_01163	tRNA	74				tRNA-Trp(cca)
GFGBILMD_01164	CDS	486	secE			Protein translocase subunit SecE
GFGBILMD_01165	CDS	717	nusG		COG0250	Transcription termination/antitermination protein NusG
GFGBILMD_01166	CDS	429	rplK		COG0080	50S ribosomal protein L11
GFGBILMD_01167	CDS	708	rplA		COG0081	50S ribosomal protein L1
GFGBILMD_01168	CDS	897	mmaA4	2.1.1.-	COG2230	Hydroxymycolate synthase MmaA4
GFGBILMD_01169	CDS	882	mmaA3	2.1.1.-	COG2230	Methoxy mycolic acid synthase MmaA3
GFGBILMD_01170	CDS	921	mmaA2	2.1.1.79	COG2230	Cyclopropane mycolic acid synthase MmaA2
GFGBILMD_01171	CDS	861	mmaA1	2.1.1.-	COG2230	Mycolic acid methyltransferase MmaA1
GFGBILMD_01172	CDS	906	rdmC	3.1.1.95		Aclacinomycin methylesterase RdmC
GFGBILMD_01173	CDS	1347			COG0661	putative protein
GFGBILMD_01174	CDS	357	whiB4			Transcriptional regulator WhiB4
GFGBILMD_01175	CDS	2433	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
GFGBILMD_01176	CDS	960				hypothetical protein
GFGBILMD_01177	CDS	1107	sbnA	2.5.1.140		N-(2-amino-2-carboxyethyl)-L-glutamate synthase
GFGBILMD_01178	tRNA	76				tRNA-Pro(cgg)
GFGBILMD_01179	CDS	1431		1.14.-.-		Putative cytochrome P450 137
GFGBILMD_01180	CDS	333				hypothetical protein
GFGBILMD_01181	CDS	369	rsfB		COG1366	Anti-sigma-F factor antagonist RsfB
GFGBILMD_01182	CDS	465	yqeY		COG1610	putative protein YqeY
GFGBILMD_01183	CDS	1233				hypothetical protein
GFGBILMD_01184	CDS	702				hypothetical protein
GFGBILMD_01185	CDS	1002				putative membrane protein
GFGBILMD_01186	CDS	1077				hypothetical protein
GFGBILMD_01187	CDS	1323				hypothetical protein
GFGBILMD_01188	CDS	993				hypothetical protein
GFGBILMD_01189	CDS	933				hypothetical protein
GFGBILMD_01190	CDS	1554	glpK	2.7.1.30	COG0554	Glycerol kinase
GFGBILMD_01191	CDS	438		3.1.-.-		Ribonuclease VapC48
GFGBILMD_01192	CDS	225				hypothetical protein
GFGBILMD_01193	CDS	1539				hypothetical protein
GFGBILMD_01194	CDS	702				putative protein
GFGBILMD_01195	CDS	1173	egtE	4.4.-.-		putative hercynylcysteine sulfoxide lyase
GFGBILMD_01196	CDS	966	egtD	2.1.1.44	COG4301	Histidine N-alpha-methyltransferase
GFGBILMD_01197	CDS	702	egtC_1	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
GFGBILMD_01198	CDS	1278	egtB	1.14.99.50	COG1262	Hercynine oxygenase
GFGBILMD_01199	CDS	1299	egtA	6.3.2.2	COG3572	Glutamate--cysteine ligase EgtA
GFGBILMD_01200	CDS	645				hypothetical protein
GFGBILMD_01201	CDS	312				hypothetical protein
GFGBILMD_01202	CDS	102				hypothetical protein
GFGBILMD_01203	CDS	1149				hypothetical protein
GFGBILMD_01204	CDS	1038	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
GFGBILMD_01205	CDS	1266	ask	2.7.2.4	COG0527	Aspartokinase
GFGBILMD_01206	CDS	1935	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
GFGBILMD_01207	CDS	990		3.1.-.-	COG0322	Putative bifunctional exonuclease/endonuclease protein
GFGBILMD_01208	CDS	1242	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
GFGBILMD_01209	CDS	708	gatD	6.3.5.13		Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
GFGBILMD_01210	CDS	855				hypothetical protein
GFGBILMD_01211	CDS	612	recR		COG0353	Recombination protein RecR
GFGBILMD_01212	CDS	384			COG0718	Nucleoid-associated protein
GFGBILMD_01213	CDS	726		3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase
GFGBILMD_01214	CDS	444				hypothetical protein
GFGBILMD_01215	CDS	1413				hypothetical protein
GFGBILMD_01216	CDS	1284		2.1.1.-	COG2230	putative fatty acid methyltransferase
GFGBILMD_01217	CDS	1737	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit gamma/tau
GFGBILMD_01218	CDS	1308			COG1167	Putative aminotransferase/MSMEI_6121
GFGBILMD_01219	tRNA	89				tRNA-Ser(gga)
GFGBILMD_01220	CDS	765	lucA			Lipid uptake coordinator A
GFGBILMD_01221	CDS	564		3.1.1.74		putative cutinase
GFGBILMD_01222	CDS	1002				hypothetical protein
GFGBILMD_01223	CDS	147				hypothetical protein
GFGBILMD_01224	CDS	1194	tdh	1.1.1.103		L-threonine 3-dehydrogenase
GFGBILMD_01225	CDS	1809				hypothetical protein
GFGBILMD_01226	CDS	3075				NCBIFAM: CmlA/FloR family chloramphenicol efflux MFS transporter
GFGBILMD_01227	CDS	2367	moaA_2			GTP 3',8-cyclase
GFGBILMD_01228	CDS	1041	ligD_2		COG1793	Multifunctional non-homologous end joining protein LigD
GFGBILMD_01229	CDS	1077	ligC	6.5.1.1	COG1793	DNA ligase C
GFGBILMD_01230	CDS	1059				hypothetical protein
GFGBILMD_01231	CDS	501				hypothetical protein
GFGBILMD_01232	CDS	1353	tgs2	2.3.1.20		putative diacyglycerol O-acyltransferase tgs2
GFGBILMD_01233	CDS	489				hypothetical protein
GFGBILMD_01234	CDS	1062	virS_1			HTH-type transcriptional regulator VirS
GFGBILMD_01235	CDS	1560				hypothetical protein
GFGBILMD_01236	CDS	948				putative PPE family protein PPE47/PPE48
GFGBILMD_01237	CDS	234	PPE4_2		COG5651	PPE family protein PPE4
GFGBILMD_01238	CDS	1356		2.3.1.20		Putative diacyglycerol O-acyltransferase
GFGBILMD_01239	CDS	675	ethA_2	1.14.13.-	COG2072	FAD-containing monooxygenase EthA
GFGBILMD_01240	CDS	396				hypothetical protein
GFGBILMD_01241	CDS	1983	ctpJ	3.6.3.-	COG2217	putative cation-transporting P-type ATPase J
GFGBILMD_01242	CDS	363	nmtR			HTH-type transcriptional regulator NmtR
GFGBILMD_01243	CDS	213				hypothetical protein
GFGBILMD_01244	CDS	336				PE family immunomodulator PE35
GFGBILMD_01245	CDS	384				hypothetical protein
GFGBILMD_01246	CDS	360				hypothetical protein
GFGBILMD_01247	CDS	291		3.1.-.-		Putative ribonuclease VapC50
GFGBILMD_01248	CDS	309				hypothetical protein
GFGBILMD_01249	CDS	327				hypothetical protein
GFGBILMD_01250	CDS	216				hypothetical protein
GFGBILMD_01251	tRNA	90				tRNA-Ser(cga)
GFGBILMD_01252	CDS	459	tadA_2	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
GFGBILMD_01253	CDS	522				hypothetical protein
GFGBILMD_01254	CDS	945	tyrA	1.3.1.12	COG0287	Prephenate dehydrogenase
GFGBILMD_01255	CDS	522				hypothetical protein
GFGBILMD_01256	CDS	720				hypothetical protein
GFGBILMD_01257	CDS	690	opuBB		COG1174	Choline transport system permease protein OpuBB
GFGBILMD_01258	CDS	1131	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
GFGBILMD_01259	CDS	1032	yehZ		COG1732	Glycine betaine-binding protein YehZ
GFGBILMD_01260	CDS	354			COG5416	putative membrane protein
GFGBILMD_01261	CDS	1056				hypothetical protein
GFGBILMD_01262	CDS	1875	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
GFGBILMD_01263	CDS	480	lpqH			Lipoprotein LpqH
GFGBILMD_01264	CDS	1437	tcrY_1	2.7.13.3		putative sensor histidine kinase TcrY
GFGBILMD_01265	CDS	705	tcrX_1		COG0745	putative transcriptional regulatory protein TcrX
GFGBILMD_01266	CDS	822				putative protein
GFGBILMD_01267	CDS	945		2.1.1.-		Putative S-adenosyl-L-methionine-dependent methyltransferase
GFGBILMD_01268	CDS	360				hypothetical protein
GFGBILMD_01269	CDS	273				hypothetical protein
GFGBILMD_01270	CDS	576				hypothetical protein
GFGBILMD_01271	CDS	183				hypothetical protein
GFGBILMD_01272	CDS	192				hypothetical protein
GFGBILMD_01273	CDS	327				hypothetical protein
GFGBILMD_01274	tRNA	74				tRNA-Arg(acg)
GFGBILMD_01275	tRNA	90				tRNA-Ser(gct)
GFGBILMD_01276	CDS	1062	pat	2.6.1.-	COG0079	Putative phenylalanine aminotransferase
GFGBILMD_01277	CDS	498				hypothetical protein
GFGBILMD_01278	CDS	885	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
GFGBILMD_01279	CDS	1248	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
GFGBILMD_01280	tRNA	88				tRNA-Ser(tga)
GFGBILMD_01281	CDS	978		1.3.1.103		2-haloacrylate reductase
GFGBILMD_01282	CDS	1197			COG0520	putative protein
GFGBILMD_01283	CDS	2001				hypothetical protein
GFGBILMD_01284	CDS	525	bpa			Bacterial proteasome activator
GFGBILMD_01285	CDS	822	tagH	7.5.2.4		Teichoic acids export ATP-binding protein TagH
GFGBILMD_01286	CDS	915	glfT1	2.4.1.287	COG1216	Galactofuranosyltransferase GlfT1
GFGBILMD_01287	CDS	843				hypothetical protein
GFGBILMD_01288	CDS	981	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
GFGBILMD_01289	CDS	615				hypothetical protein
GFGBILMD_01290	CDS	402				hypothetical protein
GFGBILMD_01291	CDS	1224			COG0739	putative protein
GFGBILMD_01292	CDS	927		2.1.1.-		Putative S-adenosyl-L-methionine-dependent methyltransferase
GFGBILMD_01293	CDS	486			COG0782	putative protein
GFGBILMD_01294	CDS	429			COG2246	Arabinogalactan biosynthesis recruiting protein
GFGBILMD_01295	CDS	1386	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
GFGBILMD_01296	CDS	765	dprE2	1.1.1.333	COG1028	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase
GFGBILMD_01297	CDS	1932	aftA	2.4.2.46		Galactan 5-O-arabinofuranosyltransferase
GFGBILMD_01298	CDS	3285	embC	2.4.2.-		putative arabinosyltransferase C
GFGBILMD_01299	CDS	3285	embA	2.4.2.-		putative arabinosyltransferase A
GFGBILMD_01300	CDS	3297	embB	2.4.2.-		putative arabinosyltransferase B
GFGBILMD_01301	CDS	1128	rbn_1	3.1.26.11		Ribonuclease BN
GFGBILMD_01302	CDS	1782	caiA_1	1.3.8.13		Crotonobetainyl-CoA reductase
GFGBILMD_01303	CDS	2286	napA	1.9.6.1		Periplasmic nitrate reductase
GFGBILMD_01304	CDS	585			COG1309	putative HTH-type transcriptional regulator
GFGBILMD_01305	CDS	768				hypothetical protein
GFGBILMD_01306	CDS	3585		3.6.3.-	COG1132	Multidrug efflux ATP-binding/permease protein
GFGBILMD_01307	CDS	120				hypothetical protein
GFGBILMD_01308	CDS	1848				hypothetical protein
GFGBILMD_01309	CDS	765		2.3.2.-	COG1376	L,D-transpeptidase 4
GFGBILMD_01310	CDS	303				hypothetical protein
GFGBILMD_01311	CDS	1242			COG2814	Chloramphenicol efflux pump
GFGBILMD_01312	CDS	291	ricR		COG1937	Copper-sensing transcriptional repressor RicR
GFGBILMD_01313	CDS	1728	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
GFGBILMD_01314	CDS	432				hypothetical protein
GFGBILMD_01315	CDS	657		2.1.1.6	COG4122	Catechol O-methyltransferase
GFGBILMD_01316	CDS	147	mymT			Metallothionein
GFGBILMD_01317	CDS	2076	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
GFGBILMD_01318	CDS	510				hypothetical protein
GFGBILMD_01319	CDS	750				hypothetical protein
GFGBILMD_01320	CDS	897		3.1.1.23	COG2267	Monoacylglycerol lipase
GFGBILMD_01321	CDS	999	sigG		COG1595	ECF RNA polymerase sigma factor SigG
GFGBILMD_01322	CDS	735		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
GFGBILMD_01323	CDS	1359				hypothetical protein
GFGBILMD_01324	CDS	1110				hypothetical protein
GFGBILMD_01325	CDS	735				hypothetical protein
GFGBILMD_01326	CDS	555				hypothetical protein
GFGBILMD_01327	CDS	969				hypothetical protein
GFGBILMD_01328	CDS	708				hypothetical protein
GFGBILMD_01329	CDS	1548				hypothetical protein
GFGBILMD_01330	CDS	1173	lprN_2			Lipoprotein LprN
GFGBILMD_01331	CDS	1593				hypothetical protein
GFGBILMD_01332	CDS	1548				hypothetical protein
GFGBILMD_01333	CDS	1041				hypothetical protein
GFGBILMD_01334	CDS	1365				hypothetical protein
GFGBILMD_01335	CDS	870				hypothetical protein
GFGBILMD_01336	CDS	798				hypothetical protein
GFGBILMD_01337	CDS	1665		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
GFGBILMD_01338	CDS	816				hypothetical protein
GFGBILMD_01339	CDS	441				hypothetical protein
GFGBILMD_01340	CDS	456				hypothetical protein
GFGBILMD_01341	CDS	1119	adhB_1	1.1.1.1	COG1062	Alcohol dehydrogenase B
GFGBILMD_01342	CDS	1374		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
GFGBILMD_01343	CDS	1509	PE3_1			PE family protein PE3
GFGBILMD_01344	CDS	1407	PE3_2			PE family protein PE3
GFGBILMD_01345	CDS	645	kstR2_1			HTH-type transcriptional repressor KstR2
GFGBILMD_01346	CDS	126				hypothetical protein
GFGBILMD_01347	CDS	1428	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
GFGBILMD_01348	CDS	333				hypothetical protein
GFGBILMD_01349	CDS	1101	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
GFGBILMD_01350	CDS	1212	caiA_2	1.3.8.13		Crotonobetainyl-CoA reductase
GFGBILMD_01351	CDS	831				hypothetical protein
GFGBILMD_01352	CDS	225				putative PE-PGRS family protein PE_PGRS24
GFGBILMD_01353	CDS	1473				hypothetical protein
GFGBILMD_01354	CDS	1767				hypothetical protein
GFGBILMD_01355	CDS	288				hypothetical protein
GFGBILMD_01356	CDS	969		1.3.1.103		2-haloacrylate reductase
GFGBILMD_01357	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
GFGBILMD_01358	CDS	1521	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
GFGBILMD_01359	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
GFGBILMD_01360	CDS	954		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
GFGBILMD_01361	CDS	843				hypothetical protein
GFGBILMD_01362	CDS	1479	clcB			Voltage-gated ClC-type chloride channel ClcB
GFGBILMD_01363	CDS	927				hypothetical protein
GFGBILMD_01364	CDS	411				hypothetical protein
GFGBILMD_01365	CDS	381				hypothetical protein
GFGBILMD_01366	CDS	1023	auaH	1.1.1.394		Aurachin B dehydrogenase
GFGBILMD_01367	CDS	504				hypothetical protein
GFGBILMD_01368	CDS	549	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
GFGBILMD_01369	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
GFGBILMD_01370	CDS	606				hypothetical protein
GFGBILMD_01371	CDS	513				hypothetical protein
GFGBILMD_01372	CDS	393	ephB_1	3.3.2.10		Epoxide hydrolase B
GFGBILMD_01373	CDS	606				hypothetical protein
GFGBILMD_01374	CDS	1083	fgd2	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
GFGBILMD_01375	CDS	1344	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
GFGBILMD_01376	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
GFGBILMD_01377	CDS	1023	fbpC	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
GFGBILMD_01378	CDS	780				hypothetical protein
GFGBILMD_01379	CDS	1368	mak	2.7.1.175		Maltokinase
GFGBILMD_01380	CDS	1806	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
GFGBILMD_01381	CDS	1068				hypothetical protein
GFGBILMD_01382	CDS	1626				hypothetical protein
GFGBILMD_01383	CDS	369				hypothetical protein
GFGBILMD_01384	CDS	183				hypothetical protein
GFGBILMD_01385	CDS	435				hypothetical protein
GFGBILMD_01386	CDS	2145			COG0480	Elongation factor G-like protein
GFGBILMD_01387	CDS	1629	sauT	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
GFGBILMD_01388	CDS	1749	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
GFGBILMD_01389	CDS	945	oxyR			putative hydrogen peroxide-inducible genes activator
GFGBILMD_01390	CDS	756	ldtA	2.3.2.-	COG1376	L,D-transpeptidase 1
GFGBILMD_01391	CDS	189				hypothetical protein
GFGBILMD_01392	CDS	1161	hddA	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
GFGBILMD_01393	CDS	573	hisB_2	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
GFGBILMD_01394	CDS	624	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
GFGBILMD_01395	CDS	957	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
GFGBILMD_01396	CDS	2058				hypothetical protein
GFGBILMD_01397	CDS	750	glpG	3.4.21.105		Rhomboid protease GlpG
GFGBILMD_01398	CDS	1491				hypothetical protein
GFGBILMD_01399	CDS	243				hypothetical protein
GFGBILMD_01400	CDS	4878	ctpI_2	3.6.3.-	COG0474	putative cation-transporting ATPase I
GFGBILMD_01401	CDS	1197			COG0523	putative protein
GFGBILMD_01402	CDS	285				hypothetical protein
GFGBILMD_01403	CDS	324				hypothetical protein
GFGBILMD_01404	CDS	1140				hypothetical protein
GFGBILMD_01405	CDS	2259	ctpB	3.6.3.-	COG2217	Cation-transporting P-type ATPase B
GFGBILMD_01406	CDS	1923			COG3336	putative protein
GFGBILMD_01407	CDS	7539	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
GFGBILMD_01408	CDS	249				putative protein
GFGBILMD_01409	CDS	1599		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
GFGBILMD_01410	CDS	552				putative protein
GFGBILMD_01411	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
GFGBILMD_01412	CDS	1392				hypothetical protein
GFGBILMD_01413	CDS	1278	yhjE			Inner membrane metabolite transport protein YhjE
GFGBILMD_01414	CDS	987	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
GFGBILMD_01415	CDS	1065	dapE_1	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
GFGBILMD_01416	CDS	585				hypothetical protein
GFGBILMD_01417	CDS	1689				hypothetical protein
GFGBILMD_01418	CDS	564	log	3.2.2.-	COG1611	Cytokinin riboside 5'-monophosphate phosphoribohydrolase
GFGBILMD_01419	CDS	1794	menE_3	6.2.1.26		2-succinylbenzoate--CoA ligase
GFGBILMD_01420	CDS	246				hypothetical protein
GFGBILMD_01421	CDS	825	folP2		COG0294	Inactive dihydropteroate synthase 2
GFGBILMD_01422	CDS	975	gpgS	2.4.1.266	COG0463	Glucosyl-3-phosphoglycerate synthase
GFGBILMD_01423	CDS	369				hypothetical protein
GFGBILMD_01424	CDS	615	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
GFGBILMD_01425	CDS	168				hypothetical protein
GFGBILMD_01426	CDS	1164	glgM	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
GFGBILMD_01427	CDS	1215	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
GFGBILMD_01428	CDS	333				PE-PGRS family protein PE_PGRS16
GFGBILMD_01429	CDS	1686	cocE_1	3.1.1.84		Cocaine esterase
GFGBILMD_01430	CDS	675				hypothetical protein
GFGBILMD_01431	CDS	1647			COG3559	Multidrug efflux system permease protein
GFGBILMD_01432	CDS	936		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
GFGBILMD_01433	CDS	639	raaS			HTH-type transcriptional regulatory protein RaaS
GFGBILMD_01434	CDS	744		2.1.1.-	COG4122	Putative O-methyltransferase
GFGBILMD_01435	CDS	633	sigE		COG1595	ECF RNA polymerase sigma factor SigE
GFGBILMD_01436	CDS	465	rseA			Anti-sigma-E factor RseA
GFGBILMD_01437	CDS	1575				hypothetical protein
GFGBILMD_01438	CDS	396	tatB			Sec-independent protein translocase protein TatB
GFGBILMD_01439	CDS	438	gph_1	3.1.3.18		Phosphoglycolate phosphatase
GFGBILMD_01440	CDS	1464				hypothetical protein
GFGBILMD_01441	CDS	435				hypothetical protein
GFGBILMD_01442	CDS	558				hypothetical protein
GFGBILMD_01443	CDS	1146	mrp		COG0489	Iron-sulfur cluster carrier protein
GFGBILMD_01444	CDS	1236				hypothetical protein
GFGBILMD_01445	CDS	543				hypothetical protein
GFGBILMD_01446	CDS	1308				hypothetical protein
GFGBILMD_01447	CDS	297				hypothetical protein
GFGBILMD_01448	CDS	528				hypothetical protein
GFGBILMD_01449	CDS	1407	lpqY		COG1653	Trehalose-binding lipoprotein LpqY
GFGBILMD_01450	CDS	924	sugA		COG1175	Trehalose transport system permease protein SugA
GFGBILMD_01451	CDS	840	sugB		COG0395	Trehalose transport system permease protein SugB
GFGBILMD_01452	CDS	1182	sugC	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
GFGBILMD_01453	CDS	1101	corA		COG0598	Cobalt/magnesium transport protein CorA
GFGBILMD_01454	CDS	990	mdh	1.1.1.37	COG0039	Malate dehydrogenase
